OK|alleluia|alleluia|#REF !
Isol|alleluja|alleluia|VRAI
OK|baiae|baiae|VRAI
Isol|bajae|baiae|VRAI
OK|baiulo|baiulo|VRAI
OK|bajulo|baiulo|VRAI
Isol|boji|boii|VRAI
Mult|boii|boii|VRAI
OK|caiatio|caiatio|VRAI
Isol|cajatio|caiatio|VRAI
OK|celeia|celeia|VRAI
OK|celeja|celeia|VRAI
OK|circeii|circeii|VRAI
Isol|circeji|circeii|VRAI
OK|deianira|deianira|VRAI
Isol|dejanira|deianira|VRAI
OK|deiotarus|deiotarus|VRAI
Isol|dejotarus|deiotarus|VRAI
OK|graiugena|graiugena|VRAI
OK|grajugena|graiugena|VRAI
OK|i|i|VRAI
Isol|j|i|VRAI
OK|jaceo|iaceo|VRAI
Isol|iaceo|iaceo|VRAI
OK|iacetani|iacetani|VRAI
OK|jacetani|iacetani|VRAI
OK|iacob|iacob|VRAI
Isol|jacob|iacob|VRAI
Isol|iactanticulus|iactanticulus|VRAI
Mult|jactanticulus|iactanticulus|VRAI
Isol|jalysus|ialysus|VRAI
Mult|ialysus|ialysus|VRAI
OK|iason|iason|VRAI
Isol|jason|iason|VRAI
OK|iaspis|iaspis|VRAI
Isol|jaspis|iaspis|VRAI
OK|iazyges|iazyges|VRAI
Isol|jazyges|iazyges|VRAI
OK|iericho|iericho|VRAI
OK|jericho|iericho|VRAI
OK|iesus|iesus|VRAI
OK|jesus|iesus|VRAI
OK|ioannes|ioannes|VRAI
OK|joannes|ioannes|VRAI
Isol|iob|iob|VRAI
Isol|job|iob|VRAI
OK|ionas|ionas|VRAI
OK|jonas|ionas|VRAI
OK|iordanes|iordanes|VRAI
OK|jordanes|iordanes|VRAI
OK|ioseph|ioseph|VRAI
OK|joseph|ioseph|VRAI
OK|josephus|iosephus|VRAI
Isol|iosephus|iosephus|VRAI
OK|iuleus|iuleus|VRAI
Isol|juleus|iuleus|VRAI
Isol|julis|iulis|VRAI
Mult|iulis|iulis|VRAI
OK|iulius|iulius|VRAI
Mult|julius|iulius|VRAI
Isol|julus|iulus|VRAI
Mult|iulus|iulus|VRAI
OK|laius|laius|VRAI
OK|lajus|laius|VRAI
Isol|lucceia|lucceia|VRAI
Isol|lucceja|lucceia|VRAI
OK|lucceius|lucceius|VRAI
Isol|luccejus|lucceius|VRAI
OK|maja|maia|VRAI
Mult|maia|maia|VRAI
OK|maialis|maialis|VRAI
OK|majalis|maialis|VRAI
Mult|maius|maius|VRAI
Mult|majus|maius|VRAI
OK|pactumeius|pactumeius|VRAI
Isol|pactumejus|pactumeius|VRAI
OK|perjeratiuncula|perieratiuncula|VRAI
Isol|perieratiuncula|perieratiuncula|VRAI
OK|periero|periero|VRAI
Mult|perjero|periero|VRAI
OK|placideianus|placideianus|VRAI
Isol|placidejanus|placideianus|VRAI
Isol|plebejus|plebeius|VRAI
Mult|plebeius|plebeius|VRAI
OK|pleias|pleias|VRAI
Isol|plejas|pleias|VRAI
Isol|pompeia|pompeia|VRAI
Isol|pompeja|pompeia|VRAI
Isol|pompeiani|pompeiani|VRAI
Isol|pompejani|pompeiani|VRAI
OK|pompeii|pompeii|VRAI
Isol|pompeji|pompeii|VRAI
OK|pompeiopolis|pompeiopolis|VRAI
Isol|pompejopolis|pompeiopolis|VRAI
Mult|pompeius|pompeius|VRAI
Mult|pompejus|pompeius|VRAI
OK|quoias|quoias|VRAI
Mult|quojas|quoias|VRAI
OK|quojus|quoius|VRAI
Mult|quoius|quoius|VRAI
Isol|satureja|satureia|VRAI
Mult|satureia|satureia|VRAI
OK|satureianus|satureianus|VRAI
Isol|saturejanus|satureianus|VRAI
OK|seia|seia|VRAI
OK|seja|seia|VRAI
OK|seianus|seianus|VRAI
Mult|sejanus|seianus|VRAI
OK|seius|seius|VRAI
OK|sejus|seius|VRAI
Isol|subiectus|subiectus|VRAI
Mult|subjectus|subiectus|VRAI
OK|submeio|submeio|VRAI
OK|submejo|submeio|VRAI
OK|submejulus|submeiulus|VRAI
Isol|submeiulus|submeiulus|VRAI
OK|superiaceo|superiaceo|VRAI
OK|superjaceo|superiaceo|VRAI
OK|superiacio|superiacio|VRAI
OK|superjacio|superiacio|VRAI
OK|superiectio|superiectio|VRAI
OK|superjectio|superiectio|VRAI
OK|superiumentarius|superiumentarius|VRAI
OK|superjumentarius|superiumentarius|VRAI
OK|troja|troia|VRAI
Mult|troia|troia|VRAI
OK|trojani|troiani|VRAI
Isol|troiani|troiani|VRAI
OK|troiugena|troiugena|VRAI
OK|trojugena|troiugena|VRAI
Isol|vediiovis|vediiovis|VRAI
Isol|vedijovis|vediiovis|VRAI
Isol|veia|veia|VRAI
Isol|veja|veia|VRAI
OK|veiens|veiens|VRAI
OK|vejens|veiens|VRAI
OK|veientanus|veientanus|VRAI
Isol|vejentanus|veientanus|VRAI
OK|veiento|veiento|VRAI
OK|vejento|veiento|VRAI
OK|veii|veii|VRAI
OK|veji|veii|VRAI
OK|veiovis|veiovis|VRAI
Isol|vejovis|veiovis|VRAI
Isol|veius|veius|VRAI
Isol|vejus|veius|VRAI
Isol|volceii|volceii|VRAI
Isol|volceji|volceii|VRAI
