dipundius|dĭpundius=dĭpūndĭus|1|||i, m.
diversorius|dīversōrius=dīvērsōrĭus|11|||a, um
dotata|dōtāta|0|||ae
drappes|Drappes=Drāppēs|5|Drāpp||is, m.
druida|drŭĭda|0|||ae, m.
ducentus|dŭcentus=dŭcēntus|11|-|-|cf. ducenti
ducenus|dŭcēnus|11|-|-|cf. duceni
duodevicensimus|duŏdēvīcensĭmus=dŭŏdēvīcēnsĭmus|11|-|-|a, um
duodevicenus|duŏdēvīcēnus=dŭŏdēvīcēnus|11|-|-|a, um
duovicenus|duŏvīcēnus=dŭŏvīcēnus|11|-|-|i (toujours au pluriell)
ecbibo|ecbĭbo=ēcbĭbo|19|ēcbĭb|ēcbĭbĭt|(ebibo) is, ere, bibi, bibitum -
ecquam|ecquam=ēcquăm|30|||acc. fem. sg. de ecqui, equae, ecquod
egus|Egus|1|||i, m.
eleata|Elĕāta|0|||ae, m.
elefantus|ĕlĕfantus=ĕlĕfāntus|1|||i, m.
elegantius|ēlĕgantiŭs=ēlĕgāntĭŭs|30|||comparatif neutre ou averbial de elegans, antis
elluor|elluor=ēllŭŏr|24|||aris, ari, atus sum
epasnactus|Epasnactus=Epāsnāctus|1|||i, m.
epicharmius|Ĕpĭcharmĭus=Ĕpĭchārmĭus|11|||a, um
eppia|Eppia=Ēppĭa|0|||ae, f.
ergasilus|Ergasilus=Ērgasilus|1|||e, m.
essito|essĭto=ēssĭto|17|||as, are
essuvii|Essŭvii=Ēssŭvĭi|1|||orum, m. pl.
euclio|Euclio=Ēuclĭō̆|5|Ēuclĭōn||onis, m.
euphorus|Euphorus=Ēuphorus|1|||i, m.
euporus|Euporus=Ēuporus|1|||i, m.
exordinatio|exordĭnātio=ēxōrdĭnātĭō̆|5|ēxōrdĭnātĭōn||ionis, f.
exsequia|exsĕquĭa=ēxsĕquĭa|0|||cf. exsequiae
factu|factū=fāctū|30|||supin de facio
favonus|Făvōnus|1|||i, m.
faxo|faxo=fāxō|30|||ut + suj.
forent|fŏrent=fŏrēnt|30|||subj.
formonsitas|formonsĭtās=fōrmōnsĭtās|5|fōrmōnsĭtāt||atis, f.
formonsus|formonsus=fōrmōnsus|11|||cf. formosus
gabi|Găbī|1|||cf. Gabii
gavilla|Gavilla=Gavīlla|0|||ae, f.
gestatoria|gestātōria=gēstātōrĭa|0|||ae
getulus|Gētūlus|11|||cf. Gaetuli
gripus|Gripus|1|||i, m.
gutuater|Gutuater=Gutŭatĕr|3|||ri, m.
haeccine|haeccĭne=hāeccĭne|29|||contr.
halotus|Halotus|1|||i, m.
harpya|Harpȳa=Hārpȳa|0|||ae, f.
hasce|hasce=hāsce|29|||pron.
hautquaquam|hautquāquam=hāutquāquăm|30|||cf. haudquaquam
hegio|Hegio=Hegĭō̆|5|Hegĭōn||ionis, m.
heiulatio|hēiŭlātio=hējŭlātĭo|5|hējŭlātīōn||cf. eiulatio
heiulatus|hēiŭlātus=hējŭlātus|9|||cf. eiulatus
helvetia|Helvētia=Hēlvētĭa|0|||ae, f.
hermundurus|Hermundŭrus=Hērmūndŭrus|1|||cf. Hermunduri
historiarumst|histŏriārumst=hīstŏrĭārūmst|30|||contract.
hoccine|hoccĭnĕ=hōccĭnĕ|30|||contr.
hosce|hoscĕ=hōscĕ|29|||pron
hujusce|hūjusce=hūjūsce|29|||pron.
idistavisus|Idistavisus=Idīstavisus|1|||i, m.
idyme|Ĭdȳmē|102|||es, f.
illecebrosius|illĕcĕbrōsiŭs=īllĕcē̆brōsĭŭs|30|||adv.
imminens|immĭnens=īmmĭnēns|14|īmmĭnēnt||entis
inclaudico|inclaudĭco=īnclāudĭco|17|||as, are
inerrabiliter|ĭnerrābĭlĭter=ĭnērrābĭlĭtĕr|32|||adv.
inerrandus|ĭnerrandus=ĭnērrāndus|11|||a, um
inerrativus|ĭnerrātīvus=ĭnērrātīvus|11|||a, um
inerratus|ĭnerrātus=ĭnērrātus|11|||a, um
inpeditius|inpĕdītiŭs=īnpĕdītĭŭs|30|||adv.
inprospere|inprospĕrē=īnprōspĕrē|31|||adv.
inquis|inquĭs=īnquĭs|30|||2ème p. s. de inquam
inquisti|inquisti=īnquīstī|30|||v. pf.
inquiunt|inquiunt=īnquĭūnt|30|||irrég.
istanc|istanc=īstānc|29|||pron
istoscine|istoscĭne=īstōscĭne|29|||contr.
istunc|istunc=īstūnc|30|||pron.
itur|ītur=ītŭr|30|||impers.
iullus|Iullus=Jūllus|1|||i, m.
jactantius|jactantiŭs=jāctāntĭŭs|30|||comp.
jajunitas|jājūnĭtās|5|jājūnĭtāt||atis, f.
jugera|jūgĕră|7|jūgĕr||um, n.
