prĕhendi,|3
prĕhensum|3
pressi,|13
pressum|13
quoad|1
repsi,|11
rīsi,|7
rīsum|7
rexi,|9
rectum|9
prés,|2
pris|14
adjt.|3
ascendi,|2
ascensum|2
adsecŭla|1
assecla,|1
sectātus|2
sensus|2
sĕqui,|9
sĕcūtus|9
sĕrĕre,|2
sĕrŭī,|1
sertum|8
sēvī,|1
sĭtum|5
are,|2
sēdī,|2
sessum|18
ire,|2
sĭlŭi|4
adstĭtī|4
inis,|22
us,|25
spersi,|4
spersum|4
adspexerit|1
spexī,|2
spectum|13
tŭi,|3
tūtum|3
pŭi,|5
pĭtum|4
strinxi,|11
strictum|12
struxi,|10
structum|11
suctum|5
ădesse,|2
adfŭi|2
sŭi,|9
sūtum|7
surrexi,|6
surrectum|6
dat.|9
tĭnŭi|8
tĭgi,|2
tactum|5
būtum|3
ĕra,|226
ĕrum|225
āre.|1
adussi,|1
adustum|1
vexi,|11
vectum|11
nom|2
venire,|2
ēri|28
acc.|34
verti,|27
versum|29
ravit,|1
vixi|7
prés.|7
advolito,|1
volvi,|11
volutum|5
vinum,|8
aeantis,|1
fĭcis,|3
mare,|4
aegra,|1
aegrum|1
sinus,|8
opis,|8
anos,|1
Aegles,|1
otis,|2
ĭum|21
ĕdis|17
Aeoles|1
subst.|14
ēi,|73
versus,|3
Diom.|1
ancis|1
ĕris|14
ăris|2
āĕris|1
ēra,|1
aeris,|1
aris,|17
eris|5
eris,|20
Aegis|1
Afra,|1
Afrum|1
es,|11
agentis|1
agri,|3
aggĕris,|1
ĕdis,|7
ētis,|28
actum,|1
ium|12
ibus,|1
salii,|1
porta,|9
Agonalia|1
oris,|55
colonia,|3
ais,|1
ait|1
Ajācis,|1
oppidum,|5
orum,|11
ălăcris,|2
ălăcre|2
dri,|28
alapāri|1
ātis|17
oris|16
fons,|2
alba,|1
album|1
alcis,|1
ei,|14
dies|5
alecis,|3
ālĭtis,|2
alsi,|1
alsum|1
ium,|10
diminutif|1
aliquantum|1
quă,|1
quod|1
adj.-pron.|1
indéfini|2
quaecumque,|1
quodcumque,|1
n'importe|1
quel|1
autre|1
ălĭquaelĭbet,|1
ălĭquodlĭbet|1
-quăvis,|1
-quidvis|1
ălĭa,|1
ălĭud|1
(gén|1
ălĭavis,|1
ălĭudvis|1
Allava,|1
ēcis,|4
ĭcis,|61
rĕgĭo,|1
Alīfa,|1
alni,|1
ălŭi,|1
altum|1
ĕi|47
ĕcis,|2
Alōrus,|1
Alpĭum,|1
Alfenus,|1
Alfius,|1
as,|1
comp.|3
neutre|5
alsus,|1
ventus,|1
āris,|17
ēris|1
c.|6
alias|1
duplex|1
utra,|1
utrum|1
utraque,|1
utrumque|1
icis,|72
atum,|5
alutae,|1
alvi,|1
Oceanus,|1
anis,|1
mansi|1
pylae,|1
amo|1
ĭi|20
igis,|7
ambae,|1
ambo,|1
gr.|1
ἄμϕω|1
1|1
tous|1
deux|1
ensemble,|1
les|4
deux.|1
2|5
poét.|2
pour|3
duo|2
hostiae,|3
ussi,|7
ustum|8
amentis,|1
castellum,|3
āmĭtis,|1
ontis|7
amiās,|1
ĭcŭi|1
ictum|4
juga,|1
Marcellinus,|1
amnacus,|1
urbes,|1
amoris,|1
mōtum|8
on|14
yos,|20
amplecti,|1
amplexus|1
ample|1
ycis,|7
conj.|55
ătis|2
ītĭdis,|6
cĭpĭtis|7
ōnis|26
ō|1
edis|12
--|1
au|21
sing.|6
ēnis,|9
ālis,|25
ĭōnis|1
inter.|12
nomos,|5
cĕpi,|1
captum|2
ante|1
dico|1
ĭvī|1
antefari,|1
tŭli,|8
lātum|9
gredi,|9
pĕdis,|11
antĕrĭus|1
antĭum,|1
stĭtī|8
vertĕre|1
verti|3
vortĕre,|1
vorti,|2
vorsum|2
mel,|1
lex,|8
pes,|4
Antiphōn,|1
itis,|8
uris,|8
ova,|3
Ăpămia,|1
æ,|10
Ăpri,|1
ăpri,|1
Aphantis,|1
Aphidna,|1
aphractum,|1
Aphroditē,|1
aphyē,|1
aptum|2
apisci,|1
aptus|1
appluda,|1
atis,|16
ae,,|1
pinxi,|6
pictum|7
Apiolae),|1
ĭus,|3
l'adj.|3
inusitée|2
applex|1
Jūlĭa,|2
adv. |11
f,|4
ŏdis,|3
aquo,|1
aquilegis|1
feri,|3
aquari,|1
aquatus|1
Ărăbis,|1
arepennis,|1
ăris,|9
Caes.|1
Arăris,|1
Claud.,|1
ficus,|3
i.|7
Arcae,|1
arcae,|1
vites,|1
ae.|5
arcŭi|1
yris,|4
īi|3
īi,|8
arsi,|1
arsum|1
um.|15
fĭĕri,|26
factus|24
ārŭi|3
m.)|2
Argūs,|1
argŭi,|3
argūtum|1
ărĭĕtis,|1
pl.|6
ūs|9
eri,|7
potentis|2
ări,|1
arra,|1
artis,|1
ĕnis,|2
ae,m.|1
onis,|12
artificis|1
artificis,|1
artuo,|1
ord.|1
artūs,|1
artŭum,|1
arcis,|1
assis,|1
Aesculapius|1
Asidis|1
aspălăthŏs,|1
lacus|3
Asphaltītēs,|1
aspris|1
ī,|3
assert-|1
assuēvi,|1
assuētum|1
sutum|4
ănactis,|1
mons,|9
ātra,|1
ātrum|1
ō,|2
-tĭcus,|1
Atrectĭanae|1
Alpes,|3
ōris|18
ōcis|7
[ater|1
enis,|2
tendi,|10
trivi|1
tritum|2
fulmina,|1
texŭi,|11
textum|11
ĕs,|2
at,|1
atis|1
tondi,|2
tonsum|3
tŏnŭi,|2
tŏnitum|1
aucŭpis,|1
ausus|1
auferre,|1
abstŭli,|1
ablātum|1
ŭris,|7
aulae|1
aurae,|1
aurugo,|1
ingis,|6
deus,|2
īcis|5
auri,|1
osculor,|1
osculum,|1
absolu|2
auspicia,|1
austri,|2
ās,|1
ēbat,|1
āvulsi|1
āvulsum|1
āverri,|1
āversum|3
āverti|2
ăvis,|1
āvolsi|1
āvorto,|1
axis,|1
axare,|1
ēlis,|7
arum,|7
silva,|4
băcŭlus,|1
lucus,|1
