|742
ōnĭs|2
spicis|1
ītidis|2
ou fēlis (faelis)|2
see feles.|1
sĕcis|2
ălis|13
(favitor)|1
inis; see femur.|1
(faenīle)|1
secis|1
fēnisecium)|1
bācis|1
faber|1
(fĕlix)|1
fētor)|1
appellatur pars remi|1
follis|1
fomitis|1
forficis|1
picis|5
fossoris|1
frăcis|1
ĭum|20
arch.|2
frundis|1
fruntis|1
ŭris|25
uris (abl. furfuri|1
furis|2
iris|3
ūris|4
crūris|1
canum querula murmuratio|1
tĕris|2
gastĕris|1
ludi|1
iōrum|1
see genetrīx.|1
ae ou gĕrănītis|1
ārum|10
gantis|1
cis|10
aucis|1
glaucis|2
mensae gliscentes|1
mensae|1
glōris|4
ūtis|6
glūtis|2
ădis (Cnosis|3
ĭdis and ĭdos|9
grўphis|1
ўpis|1
grypis|1
grȳpis|2
indecl. n. (gummis|1
is (ae)|6
is ou ĕōs|1
is (eōs)|1
-Eris|1
see allēc.|1
see ālūc-.|1
hammoniacus...|1
ădis (acc. sing. -ăda)|1
Hieron. epist. 108|1
ados|3
ellops)|1
hēlŭo|1
see hellu-.|1
tētos|1
ētos|1
pătis|1
patis|1
ītĭdis (ītĭdos)|1
Heris|1
ōnis (hĕrōdĭus|1
ĕmis|1
ŏontis|1
āctis|1
is (hydromantĭus|1
phylacis|1
pheatos|1
ătos|2
is or i|5
tricis. f.|1
pygis|1
ўchis|4
ychis|9
bicis|1
īcădis|1
ĭdis (īdōlŏlătrix|1
ĕdis m.|1
(Illiberri)|1
bricis|1
is ou eris|2
Onis. f.|3
per despectum irrisio|1
tōris|1
ōnīs|1
Atis|1
bris|13
ātis [Interamna]|1
cŭtis|2
ŭtis|1
cutis|2
n.) = µεσοµήριον|1
nĕris|1
ĕris |2
rēgis|5
stĭtis|1
stitis|2
trīginis|1
hyrpex)|1
is et ĭdis ou ĭdos|1
is (-ĭdis|1
m. indecl.|1
ĭtĭnĕris|1
iyngis|2
ngis|3
gis|2
jĕcĭnŏris|1
jŏcĭnŏris|1
see iecur.|1
Jŏvis|1
Jovis|1
juris actio|1
ĭnĭs (jŭvāmentum|1
f. n.|1
ăpis|3
apis|1
ĭdis ou ĭdŏs|1
Lartis|3
lartis|2
Lārtis|1
cadis|2
phidis|2
gens|1
see lībritor.|1
lĭēnis (lĭēnis|1
zōstis|1
līcis|1
(lŏquūtĭo)|1
see lolligo.|1
longavus)|1
ātis. f. [longiturnus]|1
ĕdis [lorum + pes]|1
ĭdis (Lōtos|1
for Lucii puer|1
luntris|1
phōtis|1
phronis|1
lyncis|3
Lyrnēsĭus|1
tētis|1
ĭdis (ĭdos ĭs)|1
persona comica ab inventore dicta|1
ortis|1
mertis|2
fallacia vel lenocinium|1
teris|1
is ou sĕos sim|1
chiris|1
ae (Mĕdamnē|1
see meddix.|1
ūs|12
ponis|1
is and ĭdos|1
mercis|1
ўbis|3
ybis|8
Mnisus ou Mnyzus|1
ĭdis (acc. Mīnōĭda)|1
nis|2
see myrmillō.|1
thrācis|1
is (Moenus|1
pīdos|1
ȳris|3
is ou i (acc. Moysen)|2
ēris and ĕri|1
bĕri|1
bĕris (bĕri|1
beris|1
trīcīs|5
ĭcis [munus + facio]|1
mirmillo)|1
see myrmillo.|1
myăcis|1
ĭdis (myŏsōta|1
ădis (Nāĭs|1
ecis|2
thēcis|1
is (surtout au plur. nāvālia|1
is or idis|1
bidis|2
is and ĭos|1
is and i|2
is ou ou i|1
ūs (uis)|1
f. indecl.|1
pron. indéf.|1
obĭcis|1
ĭcis ou objicis|1
ōbĭcis (objex|1
önis|1
ŏdis and i|1
i (ŏdis)|1
dicis|2
is ou i|4
gonis|1
mellis|6
see upilio.|1
see oppor-.|1
orbis|2
Orēădis|1
is (Orthānus|1
fĕri|1
mellis (oxymĕli|1
ūs or ōnis|1
ĭnĭs (palpamentum|1
Pānŏs|2
Pānŏs (Pānis)|1
Pānos|1
ae and ătis|2
see papas.|1
atos|2
see paropsis.|1
ēthis|4
parabsis|1
ĭdis ou is|1
see paedor.|1
qui pellicit ad fraudem|1
ădis (Pĕlōris|1
gris|9
egrī|1
another reading for parapeteuma|2
see pellectio.|1
Adv. = perplexe|1
ĭdis et ĭdŏs|1
significare videtur pestilentiam|1
ae (petauristēs|1
Acis|4
angis|5
mătis|1
paedis|2
ŏnis (Phīsŏnus|1
phlŏgis|2
phlogis|1
ȳnos|1
ynis|1
ĭdos and ĭdis|2
ĭdis et ĭdos|2
is.|1
pinacis|1
ĭi (pistaceum|1
iī|1
is and ĕi|1
plēbis|1
scisco|1
pnīgis|2
iōnis|1
euntis|4
titis|1
sŭlis|1
praesŭlis|1
sulis|1
um|1
dŭcis|1
ŭcis|3
ducis|2
ĭus|2
prŏpĭus (gén. ōris)|1
neutr. propius|1
ius|1
ī̆dis|1
dĭnis|2
mĭnis|2
pūris|5
roentis|1
ab antiquis dicebatur orcus|1
cĭpĭtis|4
cipitis|2
pŏris|1
iārum|1
rūdus)|1
see rudus.|1
rēnis|4
see renes.|1
Onis = rabo|1
mellis (rhodomelum|1
ădis (rhoea|1
rhŏis|3
rhois|1
ĭris|1
rienis|1
adv.|1
rorismarini|4
ellis|1
salicis|1
salmōnis|1
ōnis (acc. -onem ou -ona)|2
ītis|12
Samnitis|1
ūs ou ōnis|2
ūs (ōnis)|1
idis f.|1
īcis (sandyx|1
artis|1
Sartis|1
trīcis. f.|1
saurĭcis|1
scăturrex ou scătūrix|1
vitis ou uva|1
lēcis|1
bŏvis|1
ŏvis|1
bovis|3
corporis|1
hominis|1
măris|1
maris|2
Samēramis)|1
sĕnis|3
(saepimen)|1
uncis [septem + uncia]|1
see secutor.|1
Sēris|2
Seris|1
seridis|1
indecl. n. (sĕsĕlis|1
Sesothide|1
is (sesquiplārĭus|1
sessiōnis|1
tis ou tĭdis|1
silis|1
sīlis|1
tis um|1
entis (entos)|1
pĭtis|1
sĕris|1
ou sollistĭmum tripŭdĭum|2
sollistimum) tripudium|1
sōlennitās)|1
ctis|1
avis tributa Saturno ab auguribus|1
vocatur infra umbilicum suis|1
īs|1
sphingis (sphingos)|1
Sphīngis|1
splēnis|2
spontis|1
ōnus|1
see stirps.|1
old for lis.|1
mĭdis|1
strĭgis|2
strigis|2
ўgis and ўgos|1
ўgis et ўgos|1
Stygis (Stygos)|1
Stygis|1
ygis and ygos|1
ūdis|3
cūdis|1
us|3
ius [subter]|1
vadis|3
succōnis|1
see suco.|1
ĕtis|12
see sufes.|1
ĭnĭs (suffimentum|1
uris|13
ae (sulphurātĭo|1
sulfur)|1
see sulfu-.|1
mĭnĭs|1
dicebatur ab auguribus avis quae ex summo cacumine vocem emisisset|1
avis|2
see suspici-.|1
ĕos ou is|1
n. indecl. (Tadute|1
ae (Taenăris|1
Etis|1
ĭdos et īdis|1
ōnis or ontis|2
ŏentis|1
etis|3
is or ae|2
is (Tergestum|1
noctis|4
is and lētis|1
lētis et lis|1
is (ētis)|1
ae (Thamyris|1
ĭdis (acc. Thĕmin)|1
i and is|1
i et is|2
antis (Thērŏmĕdōn|1
sodalitas|1
ădis (Thoantis|1
thōis|2
ōŏs ou ōis|1
thoos (thois)|1
īpis|1
ae is|1
is or ĭdis|2
ўis ou yŏs|1
nthis or nthos|1
nthis|1
ynthis|1
-nos et -nis -nem|1
ucis|2
ium|1
issis|1
triados|1
fācis|1
facis|1
fūris|2
ou trĭpertītĭo|1
trygos|1
tuditis|1
Upis|1
(ustĭlātĭo)|1
(ūsū rĕceptĭo)|1
is f. (Uzalum|1
ācis (vatrĭcōsus|1
vēlĭtis|1
vibōnis|1
ārum (Visigothi|1
dīcis|2
i (Vologēses|1
ou Zăbŭlōn|1
indecl. n.|1
ae et is|1
ipis|1
spĭcis|1
anis|1
is or ĭdos|1
Acris|1
ae ou ātis|1
verba|2
lopis|1
llis|1
vis|1
vestis|1
indecl. (Isrāēl|2
Laurentis Lavinaris|1
urbis|1
Charis. 17|1
ādis|1
assis|1
īris|4
Ăbēlis|1
ĭdis (voc. Aci; acc. Acin ou Acidem)|1
nis or nĭdis|1
ŏnos|1
(halcyōn)|1
Ālĭdis|1
(hallex)|1
(Hammōn)|1
(artĕmo)|1
(Artemo)|1
(Ballista)|1
n. = βουστάσιον|1
(căpūdo)|1
(cōdex)|1
(cĕleuma)|1
ĭdis or ĭdŏs|1
(Chīlon)|1
rtis|1
chortis|1
(cillo)|1
Megale|1
mīdis|1
racis|2
tēris|1
phōntis|2
indecl. m. (David|1
Dītis|1
(Elaeus)|1
Eris|1
is et ētis|1
lapis|1
(futtile)|1
see futti-.|1
indecl. m. (Gabrĭēl|1
glīris|3
glītis|1
(curcŭlĭo)|1
(halōn)|1
agis|1
(ēro)|1
hiris hirris|1
(seulement au nom. et au voc.)|1
idis ou is|2
ībĭdis (ībis)|1
īlĭum|1
irris|1
lendis|2
lentis|2
(laevigātĭo)|1
(Lĭgus)|1
melĭus|1
mĕlĭus (gén. -ōris)|1
ĭdŏs|1
(Nērĕis)|1
tĕris et tris|1
tĕris (tris)|1
ĭtĕris and ĭtris|1
tĕris ou tris|1
ae is ou i|1
see paelex.|1
yis|1
(Phormĭōn)|1
for puer|1
poris|1
(rhăbo)|1
(Luc. Rŭbĭcon)|1
indecl. m. (Samson|1
(Sagărĭus)|1
(silīgo)|1
sēpis|3
sepis|1
(Sĕrāpĭo)|1
(sisamum)|1
ōnis et ŏnis|1
ōnis (ŏnis)|1
(Simōn)|1
(spintēr)|1
(stelĭo)|1
sufetis|1
ingis (acc. syringa)|1
is ĭdos|1
is (ĭdos)|1
ădis or ădŏs|1
ădis (ădŏs)|1
ōis|2
Trōis|3
ĕris (tŭbŭr|1
udōnis|1
(varro)|1
bāro)|1
Vibōnis|1
(villĭco)|1
ăcĕris|1
personified|3
eris (eros)|1
ōnis (acc. sing. ancōna)|1
like hemo for homo|1
ĭdis (is)|2
calcis|1
a|1
clitis|1
ōnos|1
or|1
ōnis (Crĕōn|1
(crotōn)|1
(Crotōn)|2
Crūris|2
dīte|2
dītis|2
(dolōn)|1
(essŭrĭo)|1
(fĭlix|1
Fontis|1
fortis|2
forte (usité au nom. fors et à l'abl. forte)|1
(Gĕlōn)|1
as a deity whose temple adjoined that of Virtus|1
bōnis|1
getis|1
Iūs|2
Ĭūs (Īōn|1
Iōnis|1
īris (īrĭdis)|1
(lars)|1
Laudis|3
(laevĭtās)|1
tatis|1
libis|2
vortis|1
ănis|2
Acc. ana|1
ănis and ae|1
(mēlis)|1
(Mŏlōn)|1
Mortis|1
Muris|1
Mūris|1
Nartis|1
(Nigris)|1
ānis (acc. Paeanem ou Paeana)|1
păris|5
Pācis|1
(Pedon)|1
Campanus|1
Pontis|1
petis|1
see curis.|1
Rēgis|2
(Rōbīgo)|1
tris (tri)|1
Sermōnis|1
mons|1
ĭum et ĭōrum|1
iorum (ium)|1
Sōlis|2
stīpis|1
n. (seul. au nom. et à l'acc.)|1
(Tarsis)|1
utris|1
vădis|3
(inusité)|1
(adspīrātio) ōnis|1
(adtentio)|1
(adtrĭbūtio)|1
(conposĭtĭo)|1
(conpŏsĭtŏr)|1
Frontin. aqu. 77 Buech.)|1
e [cum + rivalis]|1
see escensio.|1
ŏtis|3
potis|1
(au nom. seulement)|1
quiētis|1
Ŏpis|1
Opis|1
(Opis)|1
(exĕcūtĭo)|1
(exĕcūtŏr)|1
extasis)|1
opstitrīx)|1
(succentŭrĭo)|1
(summissus)|1
see sonipes.|1
urtis|1
ĭlis|2
ilis|2
comparis|1
