accido|accīdo2=āccīdo|19|āccīd|āccīs|is, ere, cidi|
accido|accĭdo=āccĭdo|19|āccĭd||is, ere, cidi|
accingo|accingo=āccīngo|19|āccīnx|āccīnct|is, ere, cinxi, cinctum|
accio|accĭo=āccĭo|21|āccīv|āccīt|is, ire, acciui, accitum|
accipio|accĭpĭo=āccĭpĭo|20|āccēp|āccēpt|is, ere, cepi, ceptum|
accipiter|accĭpĭter=āccĭpĭtĕr|5|āccĭpī̆tr||tris, m|
accitus|accītus=āccītus|9|||us, m.|
acclamatio|acclāmātĭo=ācclāmātĭō̆|5|ācclāmātĭōn||ionis, f.|
acclamo|acclāmo=ācclāmo|17|||as, are|
acclinis|acclīnis=ācclīnĭs|14|ācclīn||e|
acclino|acclīno=ācclīno|17|||as, are|
acco|Accō=Āccō|5|Āccōn||onis, m.|
accola|accŏla=āccŏla|0|||ae, m.|
accolo|accŏlo=āccŏlo|19|||is, ere|
accommodo|accommŏdo=āccōmmŏdo|17|||as, are|
accommodus|accommŏdus=āccōmmŏdus|11|||a, um|
accubo|accŭbo=āccŭbo|17|||as, are|
accumbo|accumbo=āccūmbo|19|āccŭbŭ|āccŭbĭt|is, ere, cubui, cubitum|
accurate|accūrātē=āccūrātē|31|||adv.|
accuratus|accūrātus=āccūrātus|11|||a, um @ accurate|
accurro|accurro=āccūrro|19|āccūrr||is, ere, curri, cursum|
accursus|accursus=āccūrsus|9|||us, m.|
accusatio|accūsātĭo=āccūsātĭō̆|5|āccūsātĭōn||onis, f.|
accusator|accūsātor=āccūsātŏr|5|āccūsātōr||oris, m.|
accuso|accūso=āccūso|17|||as, are|
acer|ācer=ācĕr|16|||cris, cre @ acriter|
acerbe|ăcerbē=ăcērbē|31|||adv.|
acerbitas|ăcerbĭtās=ăcērbĭtās|5|ăcērbĭtāt||atis, f.|
acerbus|ăcerbus=ăcērbus|11|||a, um @ acerbe|
acernus|ăcernus=ăcērnus|11|||a, um|
acerronia|Acerronia=Acērronĭa|0|||ae, m.|
acervatim|ăcervātim=ăcērvātĭm|30|||adv.|
acervus|ăcervus=ăcērvus|1|||i, m.|
acestes|Ăcestēs=Ăcēstēs|101|Ăcēst||ae, m.|
acetum|ăcētum=ăcētŭm|4|||i, n.|
achaia|Ăchāĭa|0|||ae, f.|
acheron|Ăchĕron|5|Ăchĕrōnt||ontis, m.|
achillas|Ăchillas=Ăchīllas|100|||ae, m.|
achilles|Ăchilles=Ăchīllēs|6|Ăchīll||is, m.|
achivus|Ăchīvus|11|||a, um|
acia|ăcĭa|0|||ae, f.|
acidus|ăcĭdus|11|||a, um|
acies|ăcĭēs|10|||ei, f.|
aconitum|ăcŏnītum=ăcŏnītŭm|4|||i, n.|
acquiesco|acquĭesco=ācquĭēsco|19|ācquĭēv|ācquĭēt|is, ere, quieui, quietum|
acquiro|acquīro=ācquīro|19|ācquīsīv|ācquīsīt|is, ere, siui, situm|
acriter|ācrĭter=ācrĭtĕr|32|||adv.|
actiacus|Actĭăcus=Āctĭăcus|11|||a, um|
actio|actĭo=āctĭō̆|5|āctĭōn||onis, f.|
actito|actĭto=āctĭto|17|||as, are|
actor|actor=āctŏr|5|āctōr||oris, m.|
actuarius|actŭārĭus2=āctŭārĭus|11|||a, um|
actuarius|actŭārĭus=āctŭārĭus|1|||i, m.|
actum|actum=āctŭm|4|||i, n.|
actus|actus=āctus|9|||us, m.|
actutum|actūtum=āctūtŭm|30|||adv.|
aculeus|ăcŭlĕus|1|||i, m.|
acumen|ăcūmĕn|7|ăcūmĭn||inis, n.|
acus|ăcus|9|||us, f.|
acutus|ăcūtus|11|||a, um|
ad|ăd|30|||prép. + Acc.|
adaequo|ădaequo=ădāequo|17|||as, are|
adam|Ādam=Ādăm|30|||inv.|
adamo|ădămo|17|||as, are|
adapto|ădapto=ădāpto|17|||as, are|
adcelero|adcĕlĕro=ādcĕlĕro|17|||as, are|
adclivis|adclīvis=ādclīvĭs|14|ādclīv||e|
adcresco|adcresco=ādcrēsco|19|ādcrēv|ādcrēt|is, ere, creui, cretum|
addecet|addĕcet=āddĕcĕt|30||||
addico|addīco=āddīco|19|āddīx|āddīct|is, ere, dixi, dictum|
addisco|addisco=āddīsco|19|||is, ere, addidici|
addo|addo=āddo|19|āddĭd|āddĭt|is, ere, didi, ditum|
adduco|addūco=āddūco|19|āddūx|āddūct|is, ere, duxi, ductum|
adductus|adductus=āddūctus|11|||a, um|
ademptio|ădemptĭo=ădēmptĭō̆|5|ădēmptĭōn||ionis, f.|
adeo|ădĕō2|30|||adv.|
