acclinis|accli_nis, accli_ne : a
acclino|accli_no_, accli_na_re, accli_na_vi_, accli_na_tum : v1
acclivis|accli_vis, accli_ve : a
acclivus|accli_vus, accli_va, accli_vum : a
accola|accola, accolae : m/f
accolo|accolo_, accolere, accolui_, accultum : v3
accommodatio|accommoda_tio_, accommoda_tio_nis : f
accommodatus|accommoda_tus, accommoda_ta, accommoda_tum : a
accommodo|accommodo_, accommoda_re, accommoda_vi_, accommoda_tum : v1
accommodus|accommodus, accommoda, accommodum : a
accredo|accre_do_, accre_dere, accre_didi_, accre_ditum : v3
accresco|accre_sco_, accre_scere, accre_vi_, accre_tum : v3
accretio|accre_tio_, accre_tio_nis : f
accubitio|accubitio_, accubitio_nis : f
accubo|accubo_, accuba_re, accubui_, accubitum : v1
accumbo|accumbo_, accumbere, accubui_, accubitum : v3
accumulator|accumula_tor, accumula_to_ris : m
accumulo|accumulo_, accumula_re, accumula_vi_, accumula_tum : v1
accuratio|accu_ra_tio_, accu_ra_tio_nis : f
accuratus|accu_ra_tus, accu_ra_ta, accu_ra_tum : a
accuro|accu_ro_, accu_ra_re, accu_ra_vi_, accu_ra_tum : v1
accurro|accurro_, accurrere, accurri_/accucurri_, accursum : v3
accursus|accursus, accursu_s : m
accusabilis|accu_sa_bilis, accu_sa_bile : a
accusatio|accu_sa_tio_, accu_sa_tio_nis : f
accusator|accu_sa_tor, accu_sa_to_ris : m
accusatorius|accu_sa_to_rius, accu_sa_to_ria, accu_sa_to_rium : a
accuso|accu_so_, accu_sa_re, accu_sa_vi_, accu_sa_tum : v1
acer|acer, aceris : n
acer|a_cer, a_cris, a_cre : a
acerbitas|acerbita_s, acerbita_tis : f
acerbo|acerbo_, acerba_re, acerba_vi_, acerba_tum : v1
acerbus|acerbus, acerba, acerbum : a
acernus|acernus, acerna, acernum : a
acerra|acerra, acerrae : f
acervatim|acerva_tim : adv
acervo|acervo_, acerva_re, acerva_vi_, acerva_tum : v1
acervus|acervus, acervi_ : m
acesco|ace_sco_, ace_scere, acui_ : v3
acetum|ace_tum, ace_ti_ : n
acidus|acidus, acida, acidum : a
acies|acie_s, acie_i_ : f
acinum|acinum, acini_ : n
acinus|acinus, acini_ : m
acipenser|acipe_nser, acipe_nseris : m
aclys|aclys, aclydis : f
aconitum|aconi_tum, aconi_ti_ : n
acquiesco|acquie_sco_, acquie_scere, acquie_vi_, acquie_tum : v3
acquiro|acqui_ro_, acqui_rere, acqui_si_vi_, acqui_si_tum : v3
acriculus|a_criculus, a_cricula, a_criculum : a
acrimonia|a_crimo_nia, a_crimo_niae : f
acriter|a_criter : adv
acroama|acroa_ma, acroa_matis : n
acroasis|acroa_sis, acroa_sis : f
acta|a_cta, a_cto_rum : npl
acta|acta, actae : f
actio|a_ctio_, a_ctio_nis : f
actito|a_ctito_, a_ctita_re, a_ctita_vi_, a_ctita_tum : v1
activus|a_cti_vus, a_cti_va, a_cti_vum : a
actor|a_ctor, a_cto_ris : m
actuarius|a_ctua_rius, a_ctua_r(i)i_ : m
actuarius|a_ctua_rius, a_ctua_ria, a_ctua_rium : a
actuosus|a_ctuo_sus, a_ctuo_sa, a_ctuo_sum : a
actus|a_ctus, a_ctu_s : m
actutum|actu_tum : adv
aculeatus|aculea_tus, aculea_ta, aculea_tum : a
aculeus|aculeus, aculei_ : m
acumen|acu_men, acu_minis : n
acuo|acuo_, acuere, acui_, acu_tum : v3
acus|acus, acu_s : f
acute|acu_te_ : adv
acutulus|acu_tulus, acu_tula, acu_tulum : a
acutus|acu_tus, acu_ta, acu_tum : a
ad|ad : prep with acc
adaeque|adaeque_ : adv
adaequo|adaequo_, adaequa_re, adaequa_vi_, adaequa_tum : v1
adamanteus|adamante_us, adamante_a, adamante_um : a
adamantinus|adamantinus, adamantina, adamantinum : a
adamas|adama_s, adamantis : m
adamo|adamo_, adama_re, adama_vi_, adama_tum : v1
adaperio|adaperio_, adaperi_re, adaperui_, adapertum : v4
adapertilis|adapertilis, adapertile : a
adapto|adapto_, adapta_re, adapta_vi_, adapta_tum : v1
adaquo|adaquo_, adaqua_re, adaqua_vi_, adaqua_tum : v1
adauctus|adauctus, adauctu_s : m
adaugeo|adaugeo_, adauge_re, adauxi_, adauctum : v2
adbibo|adbibo_, adbibere, adbibi_ : v3
addecet|addecet, addece_re : v2 impers
