Andura|Andura=Āndura|0|||ae, f.|
Anepsia|Anepsia=Anēpsĭa|0|||ae, f.|
Anguitia|Anguitia=Āngụitĭa|0|||ae, f.|
Annaea|Annaea=Ānnāea|0|||ae, f.|
Annamatia|Annamatia=Ānnamatĭa|0|||ae, f.|
AnnaPerenna|AnnaPerenna=ĀnnaPerēnna|0|||ae, f.|
antella|antella=āntēlla|0|||ae, f.|
Antiana|Antĭāna=Āntĭāna|0|||ae, f.|
Antianira|Antiănīra=Āntĭănīra|0|||ae, f.|
Anticaria|Antĭcārĭa=Āntĭcārĭa|0|||ae, f.|
Antipatrea|Antĭpătrĕa=Āntĭpătrĕa|0|||ae, f.|
Antistiana|Antistĭāna=Āntīstĭāna|0|||ae, f.|
Antona|Antōna=Āntōna|0|||ae, f.|
Antronia|Antrōnĭa=Āntrōnĭa|0|||ae, f.|
antura|antura=āntura|0|||ae, f.|
Anunea|Anunea=Anunĕa|0|||ae, f.|
Aponiana|Apōnĭāna|0|||ae, f.|
Appiaria|Appĭārĭa=Āppĭārĭa|0|||ae, f.|
aprugna|ā̆prūgna|0|||ae, f.|
Arabela|Arabela|0|||ae, f.|
Arabeta|Arabeta|0|||ae, f.|
Aracha|Arăcha|0|||ae, f.|
arachidna|ărăchidna=ărăchīdna|0|||ae, f.|
aracusia|aracūsia=aracūsĭa|0|||ae, f.|
Araura|Araura=Arāura|0|||ae, f.|
Arauraca|Araurăca=Arāurăca|0|||ae, f.|
Arausa|Arausa=Arāusa|0|||ae, f.|
Arba|Arba=Ārba|0|||ae, f.|
Arbaca|Arbaca=Ārbaca|0|||ae, f.|
Arbeia|Arbēia=Ārbēĭa|0|||ae, f.|
arboracia|arbŏrācĭa=ārbŏrācĭa|0|||ae, f.|
arboraria|arbŏrārĭa=ārbŏrārĭa|0|||ae, f.|
Archia|Archĭa=Ārchĭa|0|||ae, f.|
archinauta|archĭnauta=ārchĭnāuta|0|||ae, m.|
architecta|archĭtecta=ārchĭtēcta|0|||ae, f.|
Arcidava|Arcidāva=Ārcidāva|0|||ae, f.|
arctura|arctūra=ārctūra|0|||ae, f.|
arcuma|arcŭma=ārcŭma|0|||ae, f.|
Arecca|Arecca=Arēcca|0|||ae, f.|
Aretissa|Aretissa=Aretīssa|0|||ae, f.|
Arginussa|Arginussa=Ārginūssa|0|||ae, f.|
Ariarathia|Ariarathīa=Arĭarathīa|0|||ae, f.|
Arica|Arica|0|||ae, f.|
Arimaspa|Arĭmaspa=Arĭmāspa|0|||ae, m.|
aristocratia|aristocratia=arīstō̆cratĭa|0|||ae, f.|
Armenita|Armenīta=Ārmenīta|0|||ae, m.|
armilausia|armĭlausĭa=ārmĭlāusĭa|0|||ae, f.|
Armorica|Armorica=Ārmorica|0|||ae, f.|
Armua|Armua=Ārmŭa|0|||ae, m.|
Armysia|Armysĭa=Ārmysĭa|0|||ae, f.|
Armyzia|Armyzĭa=Ārmȳzĭa|0|||ae, f.|
arragia|arragĭa=ārragĭa|0|||ae, f.|
ArsiaSilva|ArsĭaSilva=ĀrsĭaSīlva|0|||ae, f.|
Artynia|Artynĭa=Ārtynĭa|0|||ae, f.|
Arunda|Arunda=Arūnda|0|||ae, f.|
arvilla|arvilla=ārvīlla|0|||ae, f.|
arytena|ărytēna|0|||ae, f.|
Asana|Asana|0|||ae, m.|
Asara|Asara|0|||ae, f.|
Ascua|Ascua=Āscŭa|0|||ae, f.|
Aseria|Aseria=Aserĭa|0|||ae, f.|
Asgilia|Asgilia=Āsgilĭa|0|||ae, f.|
asiarchia|asiarchĭa=asĭārchĭa|0|||ae, f.|
Aspona|Aspona=Āspona|0|||ae, f.|
assequella|assequella=āsseqụēlla|0|||ae, f.|
astella|astella=āstēlla|0|||ae, f.|
astroonomia|astrŏonŏmĭa=āstrŏonŏmĭa|0|||ae, f.|
atelia|atelīa|0|||ae, f.|
Athana|Athāna|0|||ae, f.|
athena|athēna|0|||ae, f.|
Attana|Attana=Āttana|0|||ae, f.|
Attelebussa|Attĕlĕbussa=Āttĕlĕbūssa|0|||ae, f.|
Attenia|Attenĭa=Āttenĭa|0|||ae, f.|
Atteva|Atteva=Ātteva|0|||ae, f.|
Atussa|Atussa=Atūssa|0|||ae, f.|
Audena|Audena=Āudena|0|||ae, m.|
Audia|Audīa=Āudīa|0|||ae, f.|
Auga|Auga=Āuga|0|||ae, f.|
aulaea|aulaea=āulāea|0|||ae, f.|
aurea|aurĕa=āurĕa|0|||ae, f.|
Ausafa|Ausăfa=Āusăfa|0|||ae, f.|
Austeravia|Austeravĭa=Āusteravĭa|0|||ae, f.|
Austrania|Austrānĭa=Āustrānĭa|0|||ae, f.|
Automula|Autŏmūla=Āutŏmūla|0|||ae, f.|
Auxima|Auxĭma=Āuxĭma|0|||ae, f.|
Auxuma|Auxŭma=Āuxŭma|0|||ae, f.|
Aveia|Avēia=Avēĭa|0|||ae, f.|
Axima|Axima=Āxima|0|||ae, f.|
axula|axula=āxula|0|||ae, f.|
Azibintha|Azibintha=Āzibīntha|0|||ae, f.|
bacalusia|bacalusĭa|0|||ae, f.|
Baccaria|Baccāria=Bāccārĭa|0|||ae, f.|
baccula|baccŭla=bāccŭla|0|||ae, f.|
Balanea|Balanēa|0|||ae, f.|
Balbura|Balbūra=Bālbūra|0|||ae, f.|
Baraxmalcha|Baraxmalcha=Barāxmālcha|0|||ae, f.|
barcula|barcula=bārcula|0|||ae, f.|
basilicola|băsĭlĭcŏla|0|||ae, f.|
Bastetania|Bastētānĭa=Bāstētānĭa|0|||ae, f.|
Bastitania|Bastitānĭa=Bāstitānĭa|0|||ae, f.|
batiaca|bătĭăca|0|||ae, f.|
batiola|bătĭŏla|0|||ae, f.|
belba|belba=bēlba|0|||ae, f.|
Berecyntia|Bĕrĕcyntia=Bĕrĕcȳntĭa|0|||ae, f.|
Bergusia|Bergusia=Bērgusĭa|0|||ae, f.|
berna|berna=bērna|0|||ae, m.|
Beroa|Bĕrŏa|0|||ae, f.|
Berressa|Berressa=Bērrēssa|0|||ae, f.|
Berrhoea|Berrhoea=Bērrhōea|0|||ae, f.|
Berua|Bērŭa|0|||ae, f.|
Besara|Bĕsăra|0|||ae, f.|
Bessapara|Bessapara=Bēssapara|0|||ae, f.|
Bethsaida|Bethsaida=Bethsăida|0|||ae, f.|
