suppressor|suppressŏr=sūpprēssŏr|5|sūpprēssōr||ōris, m.
suppressus|suppressus=sūpprēssus|11|||a, um
|supprĭmo=sūpprĭmo|19|sūpprēss|sūpprēss|is, ere, pressi, pressum
supprinceps|supprīnceps=sūpprīncēps|5|sūpprīncĭp||cĭpis, m.
supprincipalis|supprincĭpālis=sūpprīncĭpālis|14|sūpprīncĭpāl||e
supprocurator|supprōcūrātŏr=sūpprōcūrātŏr|5|sūpprōcūrātōr||ōris, m.
suppromus|supprōmus=sūpprōmus|1|||i, m.
suppungo|suppungo=sūppūngo|19|||ĕre
suppurantia|suppŭrantĭa=sūppŭrāntĭa|8|sūppŭrānt||ium, n.
suppurata|suppūrāta=sūppūrāta|4|||orum, n.
suppuratio|suppūrātĭo=sūppūrātĭo|5|sūppūrātĭōn||ōnis, f.
suppuratorius|suppūrātōrĭus=sūppūrātōrĭus|11|||a, um
suppuratus|suppūrātus=sūppūrātus|11|||a, um
suppuro|suppūro=sūppūro|17|||āvi, ātum, 1
suppus|suppus=sūppus|11|||a, um
supputarius|suppŭtārĭus=sūppŭtārĭus|11|||a, um
supputatio|suppŭtātĭo=sūppŭtātĭo|5|sūppŭtātĭōn||ōnis, f.
supputator|suppŭtātŏr=sūppŭtātŏr|5|sūppŭtātōr||ōris, m.
supputatorius|suppŭtātōrĭus=sūppŭtātōrĭus|11|||a, um
supputo|suppŭto=sūppŭto|17|||āvi, ātum, 1
